Course Approval Skills List (Last updated 30 Sept 2025),,
S/N,Skill,Skills Description
52,Contract Development and Management,"Maximise the organisation's operational and financial performance by drafting contracts, negotiating contract terms and conditions, ensuring compliance with contract terms and conditions, and effecting amendments."
53,Counselling Assessment,"Use appropriate counselling assessment methods and tools to identify client issues and to propose appropriate counselling methods and modalities to address the issues, including effective intake, defining of issues and goals, as well as building rapport"
54,Creative Entrepreneurship,Develop and inspire the creation of creative or intellectual capital to generate activities for business success
55,Credit Assessment,Perform credit risk assessments of customers and ensure adherence to credit control framework
56,Crew Management,"Manage crew staffing for ships by hiring, training, assigning duties to the crew members and evaluating their performance."
57,Cultural Sensitivity for Design,Develop an appreciation and thorough understanding of intended target audiences' cultures to reflect consideration to cultural sensitivities in design
58,Customer Acquisition Management,Develop customer acquisition strategies as well as foster customer relationships to attract new customers
59,Customer Service Innovation Management,"Identify elements that form customer expectations and develop new methods to design, innovate and achieve desirable levels of customer experience"
60,Customisation and Localisation,"Customise and localise media content to ensure alignment to audience preferences and social and cultural norms of the target market to maximise the reach, appeal and commercial value of the content"
61,Data and Information Visualisation,"Combine communication, data science and design to present complex insights and information in a manner that facilitates meaningful storytelling and better decision-making for the organisation"
62,Data Collection and Analysis,"Collect, extract and interpret data according to defined requirements to obtain project insights"
63,Decarbonisation Consulting,Guide organisations in the development and integration of decarbonisation strategies that help them to achieve their sustainability goals. Assess current sustainability performance of organisations and their value chains and advise on how to develop and implement decarbonisation strategies that drive organisational change whilst meeting business and compliance targets.
64,Decarbonisation Project Development,"Design and plan projects aimed at reducing carbon emissions. Work with cross-functional teams to implement and manage carbon reduction initiatives, monitoring factors such as cost-effectiveness, regulatory compliance and tracking towards sustainability targets."
65,Defect Density Monitoring,Monitor the manufacturing process defect density metrics and manage deviations as well as analyse defect density issues and recommend corrective actions
66,Design Concepts Generation,Build preliminary ideas on innovative design concepts and different ways to address needs and opportunities of target stakeholders
67,Design for Safety,"Develop designs and solutions to ensure compliance with Design for Safety (DfS) regulations while safeguarding the safety and health of users, stakeholders and the general public"
68,Design Writing,"Convey a design story, idea or concept in a compelling and engaging manner through writing"
69,Document Management for Pharmacy Support,Establish and implement documentation policies to facilitate referencing of information and comply with regulatory requirements
70,Documentation,"Write clear, concise and readable reports supported by facts and evidence"
71,Documentation and Administration,"Manage and maintain shipping documents (e.g. cargo import and export documents, shipping permits, bills of lading, booking lists, shipping permits and delivery orders) which are necessary to commence the loading and unloading operations"
72,Dry Dock Project Management,"Apply technical ship and maritime knowledge to manage dry dock-based repair and maintenance of ship assets, by specifying repair requirements, selecting suitable dry docks and overseeing the actual repair work"
73,Electrical Engineering Management,"Manage the design, technical specification, selection, modification and troubleshooting of electrical engineering equipment and systems in process plants"
74,Electrostatic Discharge Control,Implement precautionary measures required to avoid damage to sensitive electronic components as well as adopt proper components handling techniques and the use of appropriate personal grounding device
75,Empathetic Design,"Apply and drive empathetic-centred design thinking to better understand users' feelings and perceptions towards products and services, as well as the emotional tone of creative design work"
76,Engineering Contract Management,"Analyse and develop tender requirements to define engineering contract structures, terms and financials"
77,"Engineering Drawing, Interpretation and Management","Use engineering drawings and documentation describing layout, location, interconnection, design and operational parameters, and operating and safety design limits to support engineering activities"
78,Engineering Safety and Security Standards,Design and execute safety and security policies to promote safe working environments for engineering projects
79,Engineering Safety Standards Interpretation,Design and implement appropriate safety and safeguarding engineering solutions standards in accordance with legislative requirements and industry best practices
80,Engineering Support Management,"Provide discipline engineering technical support and expertise in technical specifications, modifications, asset integrity and troubleshooting of engineering equipment and systems, to production, maintenance and project teams"
81,Enterprise Database System Administration,"Manage database design, architecture, optimisation, deployment, troubleshooting as well as capacity planning, refinement of logical design, handling of back-up and recovery plans, in order to support business requirements"
82,Environment and Social Governance,Understand the latest industry and/or client standards regarding Environment and Social Governance (ESG) and undertake ESG research activities
83,Environment Impact Assessment,"Evaluate and analyse the potential environmental and social consequences of proposed projects, policies, or developments, incorporating regulatory standards, environmental and social science approaches, and stakeholder insights. Inform decision-making by providing information on potential risks, as well as recommendations for minimising ecological and social impacts and promoting sustainable development."
84,"Environmental Management System Policies, Standards, Procedures and Practices Management","Apply an effective and systematic process for managing and maintaining Environmental Management System policies, standards, procedures and practices in accordance with legislative requirement and management system requirements"
85,Equipment and Systems Testing,Execute equipment and systems testing procedures to ensure continuity of operations and meet standards of performance
86,Equipment Drawing,"Create equipment drawings based on design specifications representing working pieces of machinery for ships, rigs, conversions and/or equipment sub-components"
87,Equipment Maintenance and Housekeeping,Maintain and upkeep tools and equipment and implement organisational housekeeping practices
88,Evidence Management,Employ forensic research methodologies to collect and manage data
89,Executive Protection,Provide protection services to moderate risk security environment
90,Financial Crime Laws and Regulations,Utilise laws and regulations governing white-collar crime in the process of forensic services
91,Fleet Procurement,"Acquire ship fleets, either through purchase or charter, for the organisation as business assets to fulfil operational needs and shipping orders"
92,Food and Beverage Equipment Maintenance,Maintain tools and equipment to meet operation requirements and propose strategies for tools and equipment performance improvement
93,Food and Beverage Production Management,Manage operations and production levels in kitchen
94,Food Manufacturing Process Design,Analyse food product designs to establish manufacturing process workflows and identify potential risks and problems to reduce manufacturing costs
95,Gas Network System Management,Manage the gas network system and equipment in accordance with the relevant principles and processes
96,Hazardous Materials Identification System (HMIS) Administration,Establish procedures and documentation using Hazardous Materials Identification System (HMIS) for control and audit
97,Hazards and Risk Identification and Management,Implement a systematic approach for hazard identification and risk assessment to manage hazards that may occur within biopharmaceutical manufacturing facilities
98,"Heating, Ventilation and Air Conditioning System Design","Design heat transfer systems by applying concepts of thermodynamics in marine engineering to provide for the heating requirements of ships, rigs and/or conversions"
99,Heavy Crane Vehicle Maintenance,Implement preventive and corrective maintenance activities of heavy crane vehicle
100,High Speed Camera Operations,Manage the set-up and operations of high speed cameras and associated equipment for content productions to capture clear visuals and deliver slow-motion effects in situations involving fast motions
101,Hospitality Venue Inspection,Organise and conduct property site inspections to introduce facilities and features of property to clients for the purpose of closing sales
102,House Brand Development,"Manage product lifecycles to ensure alignment to established house brand positioning strategies that take into account target markets, customer needs and perceptions"
103,Human Resource Systems Management,Establish and manage effective and efficient human resource (HR) management systems
104,Image Processing and Industrial Vision Inspection,Perform digital image processing and industrial vision inspections using imaging hardware and optics and advanced processes in accordance with design specifications and organisational requirements
105,Immersive Video Editing,Edit captured immersive footage into coherent and seamless immersive videos to deliver an immersive audience experience using principles of storytelling and photography
106,Incident and Accident Investigation,Investigate workplace incidents and accidents based on root cause analysis and identification of corrective actions to prevent recurrences
107,Information Collection,Gather and measure data on topics targeted to answer relevant questions
108,Innovation,Foster a culture of innovation across the organisation through ideation thereby enhancing efficiency and productivity
109,Integrated System Design and Application,"Manage systems of interrelated computing devices and systems, mechanical and digital machines, objects and people to allow transfer of data over the network so as to support business requirements"
110,Intellectual Property Commercialisation and Exploitation,Develop and execute intellectual property marketing and/or exploitation strategy
111,Intellectual Property Enforcement,Manage and evaluate effectiveness of enforcement procedures
112,Intellectual Property in Research and Development,Apply intellectual property practices in research and development
113,Intellectual Property Licencing,Execute and manage intellectual property licencing strategies
114,Intellectual Property Management,"Evaluate, determine and implement organisational intellectual property rights to mitigate potential infringement"
115,Intellectual Property Portfolio Management,"Maintain, manage and develop the organisation's intellectual property portfolio"
116,Internal Controls,Evaluate effectiveness and efficiency of internal controls in the organisation
117,Internal Controls in Product Development,Evaluate effectiveness and efficiency of internal controls during product development
118,IT Asset Management,"Manage, optimise and protect the organisation's IT assets. This includes the timely purchase, deployment, categorisation, maintenance and phase out of IT assets within the organisation in a way that optimises business value. Also includes development and implementation of procedures to guide the proper handling, usage and storage of IT assets to limit potential business or legal risks"
119,IT Standards,"Develop and review of standard operating procedures as well as service expectations for IT-related activities and processes. This includes the provision of clear guidelines for the organisation to carry out IT-related tasks in a manner that is effective, efficient and consistent with the IT service standards and quality standards of the organisation"
120,IT Strategy,"Plan, develop and communicate effective inward- and outward-facing IT strategies, solutions and action plans, driven by environment scanning and assessment of the business' future needs and long-term strategic direction. This involves devising internal management strategies and models to support and sustain IT transformations and alignment of IT investments and programmes with the strategy to optimise the business value from IT"
121,Knowledge Management,"Develop and deploy systematic management of information within databases, documents, policies and procedures, as well as promote knowledge as a strategic organisational asset and key enabler of organisational learning."
122,Labour Relations Management,"Manage labour relations to support, enhance and strengthen the relationships amongst trade unions, work councils and employee forums"
123,"Landscape Tools, Equipment and Machinery Management","Manage the safe and effective use of tools, equipment and machinery in landscape operations"
124,Learning Needs Analysis,"Identify the learning needs of the learners' workplace, department or division in accordance to the Learning Needs Analysis Framework"
125,Legal Writing,Present and convey legal advice or opinion in writing to express a legal position
126,Lighting Operations,Manage the set-up and operations of lighting equipment during productions
127,Loss and Risk Prevention Management,"Manage loss and risk policies and procedures to prevent loss and risk incidents in daily business operations to safeguard the property, safety and well-being of guests and/or customers"
128,Maintenance Coordination,Establish and implement organisational maintenance strategies and programmes
129,Maintenance Scheduling,Plan and manage maintenance schedules in accordance with the organisational standards and Original Equipment Manufacturer's recommendations
130,Manpower Planning and Deployment,Develop and implement manpower plans to support and meet the organisation's strategic and operational needs
131,Manufacturing Workflow Management,Manage manufacturing operations to ensure timely and quality delivery of production outcomes
132,Marine Design Customisation,Customise engineering solutions to meet exceptional customers' requirements beyond typical scoping of existing product portfolios and/or capabilities
133,Marine Engineering Calculations,Apply mathematical formulae and principles of numerical analysis to marine engineering applications
134,Marine Incident and Accident Investigations,"Investigate different types of marine incidents and accidents in collaboration with other relevant agencies, where necessary, to determine their causes and recommend preventive measures"
135,Marine Insurance Underwriting Profitability and Efficiency Management,Manage profitability and effectiveness of marine insurance underwriting function according to organisation's strategies
136,Marine Survey Reporting,Prepare and approve marine survey reports to set out technical findings and recommendations
137,Maritime Emergency Response Management,Manage emergency response plans for the range of contingencies affecting the maritime sector
138,Maritime Hazards Identification,Implement systematic approaches for hazard identification and risk assessment to eliminate or reduce risks effectively in maritime and shipping operations
139,Maritime Incident Management,"Apply a systematic and objective approach in health, safety, security, environment and quality (HSSEQ) incident and accident investigations which include responding, reporting, gathering data and information, root cause analyses, implementation and review of corrective and preventive measures, to prevent recurrence of incidents and accidents"
140,Market Entry Strategy Formulation,"Develop strategic plans to enter identified markets based on assessed costs, benefits and risks involved"
141,Market Risk Management,"Identify, monitor, and manage market risks including foreign exchange, interest rates, credit spreads, and liquidity, and implement risk mitigation plans in adherence to financial market risk limits and guidelines."
142,Marketing Strategy Development,Perform market research to determine the ideal marketing strategy and positioning of retail products
143,Material Qualification,Manage quality of materials to ensure material specifications conform to product requirements
144,Materials Qualification,Manage the quality of materials to ensure material specifications conform to product requirements
145,Measurement of Building and Construction Works,Analyse proposed construction drawing plans and designs to prepare cost estimations
146,Mechanical Engineering Management,"Manage the design, technical specification, selection, modification and troubleshooting of mechanical equipment, structures and systems so as to provide mechanical engineering discipline support to construction, operations, maintenance and project teams"
147,Mechanical Maintenance Management,"Manage the design, technical specification, , overhaul, and maintenance of mechanical plants, equipment and systems, to provide mechanical engineering discipline support to production, maintenance and project teams in the plant facilities"
148,Media Data Management,"Design, implement and operate digital systems for managing the access to the organisation's content, including intellectual property and licensed content"
149,Media Distribution Platform Management,Develop and implement strategies to manage the distribution platform and partners through which the organisation's content and services are delivered
150,Media Strategy Development,"Develop, execute and evaluate media strategies and plans to assess impact of media advertising across channels in relation to target customers"
151,Medication Dispensing,Process prescriptions and medication orders and dispense medication accurately. Resolve medication incidents including dispensing errors and near misses
152,Merchandise Performance Analysis,"Develop processes to analyse profit performance of merchandise, evaluate trends of profitability and identify opportunities to adjust range of merchandise"
153,Metal Forming,Develop and optimise metal forming processes for manufacturing of quality products
154,Metrology Management,Manage metrology techniques for process performance measurement as well as develop metrology recipes for process optimisation
155,Mobile Equipment - Heavy Duty Prime Mover and Trailer Operations,Support loading and unloading of cargo at wharves and yards through the use of heavy duty prime movers and trailers
156,Mobile Equipment - Prime Mover Defensive Driving,Apply defensive driving rules in operating prime movers at the port
157,Multi-function Vehicle Maintenance,Implement preventive and corrective maintenance activities of multi-function vehicle
158,Narrative Design,Develop the flow of the content through designing narrative elements to create an engaging audience experience
159,Narrative Design in Product Development,Develop the flow of the content through designing narrative elements within product development and at the product launch stages to create an engaging audience experience
160,Naval Architecture Calculations,"Apply mathematical and physics calculations to specify capacity, trim and stability details, and ensure seaworthiness of ships, rigs and/or conversions"
161,"Network Monitoring, Control and Supply Restoration",Monitor round-the-clock status of distribution networks and carry out network remote switching and/or supply restoration
162,Network Simulation and Analysis,"Analyse the natural gas network to coordinate bookings of available capacities, maintain optimal performance settings and drive enhancements to the network"
163,Network Systems Maintenance,Implement preventive and corrective maintenance activities of network systems
164,Non-destructive Testing,"Establish and approve non-destructive testing (NDT) procedures. This includes interpreting codes, standards, specifications and procedures, as well as designating the particular NDT methods, techniques and procedures to be used."
165,Non-destructive Testing (Radiographic Inspection),"Perform radiographic inspections on components using appropriate tools, equipment, materials and methods meeting requirements and in accordance with organisational procedures."
166,Novel Food Application,"Design, evaluate, and improve processes in the development and commercialisation of novel food products to ensure compliance with regulations on quality, safety, and nutrition, while facilitating their successful introduction into the consumer market."
167,Nursing Research and Statistics,Collect and analyse research data and appraise published research to derive new insights and support decision-making
168,Operational Risk Management,"Develop and implement operational risk management strategies and structure to identify, measure, analyse, control, monitor and report on operational risks"
169,Organisational Analysis Management,Evaluate factors that can affect the organisation's performance as well as strategically assess the organisation's own resources and potential
170,Patent Office Action and Infringements,"Handle patent written opinions and/or office actions, and infringement and invalidity"
171,Pest Control Site Assessment and Analysis,Plan and execute assessment of sites to develop pest management programmes to mitigate the risks of pest activity and future pest problems
172,Pest Disposal Management,"Remove and dispose dead pests and waste materials safely and appropriately to reduce risk of contamination, prevent spread of diseases and protect the environment"
173,Plastic Injection Moulding,Design and implement injection moulding systems to manufacture polymer-based products
174,Policy Implementation and Revision,Identify priority areas for policy development and evaluate existing policies to determine currency and relevance before implementing policies
175,Port Call Planning,"Organise, oversee and coordinate all aspects of the port call, from booking of berth allocations and services before arrival to finalising of accounts after departure"
176,Portfolio Management,"Manage systematically the IT investments, projects, services and activities within a company, in line with business objectives and priorities. This involves the development of a framework to evaluate potential costs and benefits and make key decisions about IT investments, internal allocation and utilisation of IT resources and/or assets and any changes to IT processes or services offered"
177,Power Plant Incident Investigation Management,"Investigate incidents, operation abnormalities and possible areas of fault"
178,Pricing Strategy,"Analyse product, organisational and market factors, trends, pricing scenarios and valuation models to develop effective pricing strategies for products and solutions"
179,Process Optimisation,"Analyse biopharmaceuticals manufacturing processes and identify adjustments that will reduce costs of manufacturing and increase quality, throughput and efficiency"
180,Process Validation,"Verify that processes are reproducible and consistent in delivering quality products according to specifications, and in line with international regulations"
181,Procurement Coordination and Policy Development,Design and implement procurement strategy and workflow to govern activities relating to sourcing and purchasing of materials as required to deliver on project expectations
182,Procurement Performance Monitoring,"Monitor procurement performance to cut costs, alleviate risks, and drive continuous process improvement by measuring and analysing vendor and process efficiency"
183,Product Costing and Pricing,"Design production specifications, evaluate costing factors and document product cost estimates"
184,Product Improvement,Analyse technical specifications of nutritional products and identify ways to make improvements
185,Product Lifecycle Management,"Apply collaborative product lifecycle management solutions in the organisation for the purposes of creating a central repository for all product data and managing this information throughout the entire product lifecycle to improve efficiency, cost effectiveness and decision making"
186,Product Risk Assessment,Perform assessment of risks through understanding the product development lifecycle
187,Product Testing,Test biopharmaceutical products to verify that they have been produced to the required quality and regulatory standards
188,"Product, Content and Experience Performance Management","Determine effectiveness of products, product improvements or variations through analysis of data"
189,Production Budget Management,"Develop the formal budget for entire production based on estimation of the cost of activities in the production schedule, and set up financial monitoring and control systems for tracking production's expenditure against budget"
190,Production Operations,Manage the coordination and execution of production operations
191,Production Planning and Scheduling,Establish and implement strategic production planning and scheduling to meet production targets and cycle time indices
192,Productivity and Innovation Strategy,"Articulate productivity and innovation strategies, develop a productivity management framework as well as manage systems to evaluate effectiveness in promoting continuous improvements"
193,Productivity Optimisation for Food and Beverages Operations,"Drive work area process goals, job specifications and workplace requirements for productivity initiatives, to evaluate work area processes for problems and identify areas for improvement"
194,Project Cost,"Set budgets, monitor costs and assess budget implications of projects on operations"
195,Project Timeline,Determine project requirements and develop timelines to ensure timely project delivery
196,Prompt Engineering,"Create nuanced and strategic prompts that optimise AI model performance, combining different methodologies to generate innovative and effective prompts."
197,Prop Design,Develop props to support the creative direction of the production sets
198,Public Areas Housekeeping Operations Management,Manage cleaning operations to maintain the cleanliness and presentation of public and back-of-house areas to upkeep the brand image of the property
199,Qualitative Research,"Conduct and lead qualitative research studies, focusing on the study of people, habits, norms and cultures, to uncover insights driving the behaviour of different respondents"
200,Quality Control and Assurance,"Establish quality control procedures for biopharmaceutical manufacturing processes, products, equipment and systems, to ensure the desired level of compliance at all stages"
201,Quality Improvement and Safe Practices,"Drive continuous improvement, risk management and implementation of safety design principles to achieve quality and patient safety outcomes"
202,Radioactive Materials and Irradiating Apparatus Management,Manage radioactive materials and irradiating apparatus to ensure radiation safety at the workplace
203,Regulatory Risk Assessment,Analyse the impact of latest global regulatory developments and relevant laws on overall audit and/or engagement strategies
204,Regulatory Submission and Clearance,"Manage the processes for obtaining the required project approvals, permits, and the compliance to regulatory conditions"
205,Research Translation,Translate research findings into practice
206,Risk Advisory,Provide customised risk management advice to organisations to manage and optimise risks
207,Risk and Compliance Reporting,Develop regulatory documents required to meet regulatory reporting requirements and obligations
208,Risk and Crisis Management,"Apply strategies designed to enable an organisation to deal with disruptive events by planning for responses to potential crises, establishing monitoring systems and training systems, communicating both internally and externally, and leading recovery processes"
209,Risk Compliance and Governance,"Enforce corporate governance and risk compliance within the organisation through the establishment of policies, compliance programmes and management systems."
210,Risk Management and Administration,"Identify, assess and prioritise risks and apply resources to mitigate risks and impact of incidents"
211,Room Reservation Operations Management,Process guests' requests for reservations to ensure availability of rooms and/or properties upon arrival
212,Security Event Management,Plan and coordinate security operations of specific events
213,Set Design,"Research, conceptualise and execute visual concepts of the set to support creative direction of productions"
214,Sheet Metal Structures Maintenance,"Maintain and repair sheet metal structures using appropriate resources and conduct inspection checks after maintenance work. This includes performance of simple surface corrosion treatments, fabrication of sheet metal parts, installation and removal of fasteners."
215,Ship Cyber Security,Maintain the cyber security of the organisation's fleet
216,Ship Maintenance and Repair (Dock),"Manage scheduling, resources and engineering work methods at the docks for maintenance on ships' equipment and systems to achieve renewal and extension of classification certificates"
217,Ship Propulsion Inspections,Inspect ship propulsion systems as part of marine surveys
218,Ship Safety Management Systems Audit,Carry out audits of shipboard safety management systems to ensure compliance with regulatory requirements
219,Shipment Load Planning and Palletisation / Consolidation,Optimise pallet load configuration and consolidation for shipments
220,Single Stack Medium Forklift Operations,Operate single stack medium forklift for container operations
221,Social Policy Evaluation,"Evaluate existing social policies to determine currency, relevance and alignment to national priorities and social needs"
222,Social Service Programme Evaluation,Evaluate the effectiveness of social service programmes in meeting the needs of the clients and communities
223,Social Service Programme Implementation,Implement effective social service programmes that serve the needs of the clients and community
224,Solid-State Device Engineering,"Apply an understanding of the advancements in solid-state physics to design and develop semiconductor devices, improve device performance, and enhance energy efficiency."
225,Sound Design and Creation,Conceptualise creative sound concepts and create sound effects that conform to requirements of the content
226,Sound Editing,"Edit, refine and arrange sound sequences to meet the creative and technical requirements of content"
227,Sound Mixing,Balance the levels of combined sound elements to create audio mixes for production
228,Staff Continuous Learning,"Develop knowledge, skills and abilities of self or employees to support the capability development needs of the organisation"
229,Standard Operating Procedures Development,Implement and develop Standard Operating Procedures (SOPs) and enforce compliance with SOPs
230,Store Facilities and Housekeeping,Identify facility and space requirements and negotiate contract terms and conditions to support business needs and volume
231,Structural Testing,"Execute non-destructive structural tests to ensure integrity and reliability of structural components against standards and product specifications based on determined test methods, criteria, equipment and timeframe"
232,Supplier Performance,Formulate metrics to manage and evaluate suppliers to review supplier performance
233,Supplier Performance and Management,"Assess and select suppliers based on defined criteria, implementing performance evaluation measures, negotiating, and managing contracts, building strong supplier relationships, and assessing and mitigating risks"
234,Supply Chain Solutioning / Modelling / Planning / Strategising,"Develop new operating models and solutions for customers, to manage their supply chain needs, as well as improve inventory levels, delivery time and cost saving"
235,Sustainability Assurance,"Evaluate and verify the accuracy, relevance, and completeness of an organisation’s sustainability reporting and information disclosure, ensuring alignment with established regulatory standards, environmental goals, social responsibilities, and economic outcomes. Enhance the transparency, credibility, and trust in an organisation’s sustainability reporting, ensuring that informed decisions can be made."
236,Sustainability Management,"Plan, develop and roll out of an organisation-wide sustainability strategy. This includes the assessment of the organisation's utilisation and/or consumption of energy and other resources, vis-a-vis the availability and stability of supply sources and external best practices and standards in sustainability. This also includes the on-going monitoring and tracking of energy and/or resource-consumption over time, to identify impact on the organisation's internal and external environment as well as potential improvements in energy- or resource-efficiency."
237,Sustainable Farming Practice Implementation,"Develop organisational sustainability goals, policies and plans and implement sustainability practices to ensure that farming is carried out based on best practices and protocols that uses clean energy, optimise water efficiency, minimise pollution and impact on the environment"
238,Switchboard Operations Management,"Manage incoming calls to provide information and assistance, and provide telephone-related services to guests"
239,Tax Advisory,Apply relevant and holistic tax advisories for better strategic management
240,Tax Compliance,Evaluate tax computations and systems to ensure compliance with statutory tax obligations
241,Tax Controversy Management,"Respond to tax queries from the authorities with completeness, relevance and accuracy"
242,Tax Risk Management,Review tax risk frameworks to ensure risks are minimised and managed properly
243,Taxation Laws,Analyse impact of evolving tax legislation on business environment
244,Technical Report Writing,Produce reports with specific information and evidence presented in a clear and structured format
245,Technical Sales Support,"Develop preliminary technical solutions, proposal or initial prototypes to address customers' needs. This includes analysis and diagnosis of customers' technical requirements, design of proof of concept, and delivery of product demonstrations and/or customisation samples as part of broader end-to-end solution to customers"
246,Technical Sound Design,"Design, implement and manage technical aspect of sound to translate production requirement into a cohesive auditory experience"
247,Test Planning,"Develop testing plans and procedures by determining scope and risks, identifying the objects of testing, selecting test methods and tools, and controlling test implementation"
248,Time-Sensitive Cargo Delivery Management,Plan and manage transportation of cargo with time-sensitive delivery window
249,Tools Development,Design and develop software tools to perform specialised functions that aid and ease various game development processes
250,Total Rewards Philosophy Development,"Establish organisation-wide total rewards philosophy, strategies and mechanisms for various employee groups to incentivise the desired behaviours"
251,"Tour and Travel Coordination, Ticketing and Reservations Management","Develop policies and procedures for management of coordination, ticketing and travel reservations in support of customers' requirements"
252,Trade Mark Application,Prepare and review trade mark applications
253,Trainer and Assessor Development Management,Develop and apply trainer and assessor development plans to ensure high quality of workplace learning and assessment programmes are in place
254,Transportation and Handover of Patient,Manage the transportation and handing over of prehospital cases
